,시점,수출액,수입액,환율,소비자 물가지수,기준금리(연%),국제유가,항공 운임,고용률(%),가동률지수(원지수)
63,2020.04,7172776,3616259,"1,218.20",99.5,0.75,20.39,1.83,59.4,98.6
64,2020.05,8066599,3887041,"1,238.50",99.44,0.5,30.47,1.83,60.2,113.9
65,2020.06,8302898,3793795,"1,203.00",99.71,0.5,40.8,3.2,60.4,120.0
66,2020.07,7876583,4501675,"1,191.30",99.63,0.5,43.3,3.2,60.5,113.9
67,2020.08,8200340,4389877,"1,187.80",100.19,0.5,44.0,3.2,60.4,119.4
68,2020.09,9504203,4474313,"1,169.50",100.74,0.5,41.51,3.2,60.3,122.8
69,2020.10,8677437,4753220,"1,135.10",100.18,0.5,40.67,3.2,60.4,116.7
70,2020.11,8594825,4560906,"1,106.50",100.09,0.5,43.42,3.2,60.7,120.3
71,2020.12,9461031,4549503,"1,086.30",100.33,0.5,49.84,3.2,59.1,124.3
72,2021.01,8712259,4554030,"1,118.80",101.04,0.5,54.82,3.2,57.4,112.0
73,2021.02,8372045,4077406,"1,123.50",101.58,0.5,60.89,3.2,58.6,111.6
74,2021.03,9505254,4669892,"1,131.80",101.84,0.5,64.44,3.2,59.8,121.7
75,2021.04,9341818,4652648,"1,112.30",101.98,0.5,62.92,3.1599999999999997,60.4,108.3
76,2021.05,10043260,4696662,"1,110.90",102.05,0.5,66.34,3.1599999999999997,61.2,122.9
77,2021.06,11158755,4803072,"1,126.10",102.05,0.5,71.6,3.1599999999999997,61.3,126.8
78,2021.07,10980906,5353964,"1,150.30",102.26,0.5,72.93,3.1599999999999997,61.3,128.3
79,2021.08,11695023,5311582,"1,159.50",102.75,0.75,69.5,3.1599999999999997,61.2,132.3
80,2021.09,12180206,5458903,"1,184.00",103.17,0.75,72.63,3.1599999999999997,61.3,130.8
81,2021.10,11173464,5410830,"1,168.60",103.35,0.75,81.61,2.7400000000000007,61.4,127.9
82,2021.11,12035996,6046221,"1,187.90",103.87,1,80.3,2.6800000000000006,61.5,127.8
83,2021.12,12780662,6356192,"1,188.80",104.04,1,73.21,2.5800000000000005,60.4,136.3
